shipment_id,order_ref,warehouse_id,customer_id,vehicle_id,carrier,ship_date,expected_delivery_date,actual_delivery_date,distance_km,weight_kg,freight_cost_usd,status,origin_city,destination_city
SHP001070,ORD000567,WH006,CUST00510,VEH0022,BlueDart,2026-03-17,2026-03-22,2026-03-22,1352.2,2013.9,896.11,Delayed,Atlanta,Timothyborough
SHP000819,ORD001055,WH009,CUST00144,VEH0030,In-house Fleet,2026-05-27,2026-06-05,2026-06-05,1494.5,1230.2,427.72,Out for Delivery,Atlanta,Adamton
SHP001116,ORD000597,WH002,CUST00110,VEH0044,BlueDart,2026-07-25,2026-07-30,2026-07-30,1869.5,1945.8,2812.01,Delivered,Singapore,Port Mark
SHP001461,ORD000214,WH004,CUST00567,VEH0059,FedEx,2026-06-05,2026-06-07,,2471.0,3049.0,3282.83,In Transit,Columbus,Bushmouth
SHP000051,ORD000502,WH010,CUST00517,VEH0050,Delhivery,2026-07-23,2026-07-25,2026-07-25,322.4,1499.9,2402.86,Cancelled,Newark,Knappbury
SHP000426,ORD000002,WH001,CUST00261,VEH0055,In-house Fleet,2026-05-01,2026-05-06,2026-05-06,42.6,1431.2,1948.17,Cancelled,Chennai,Michaelshire
SHP001338,ORD000735,WH004,CUST00094,VEH0051,DHL,2026-05-06,2026-05-11,2026-05-11,29.9,3384.4,1969.78,Delayed,Columbus,East Jenniferbury
SHP001436,ORD000512,WH004,CUST00563,VEH0020,XPO Logistics,2026-03-01,2026-03-03,2026-03-03,1494.7,4452.7,2884.61,Delivered,Columbus,East Keith
SHP000870,ORD001198,WH010,CUST00574,VEH0008,BlueDart,2026-05-09,2026-05-17,2026-05-17,532.9,1604.8,2023.49,Delivered,Newark,Amandaborough
SHP000689,ORD000702,WH003,CUST00083,VEH0004,XPO Logistics,2026-05-18,2026-05-24,2026-05-24,726.8,4164.1,1601.22,Delayed,Columbus,Port Mollyborough
SHP000992,ORD000705,WH005,CUST00582,VEH0046,In-house Fleet,2026-07-24,2026-07-29,,2649.9,4207.4,1728.89,In Transit,Rotterdam,New Andreamouth
SHP000611,ORD000471,WH012,CUST00356,VEH0012,In-house Fleet,2026-03-22,2026-03-23,2026-03-23,1710.0,3161.4,3177.62,Delivered,Hamburg,South Mathew
SHP000270,ORD000931,WH011,CUST00407,VEH0023,Delhivery,2026-04-22,2026-04-28,2026-04-28,822.3,248.4,1281.01,Delivered,Newark,Andrewhaven
SHP000104,ORD001092,WH013,CUST00318,VEH0012,In-house Fleet,2026-08-14,2026-08-26,2026-08-26,1960.7,4372.2,3447.32,Delivered,Chennai,Port Felicia
SHP000607,ORD001007,WH003,CUST00378,VEH0018,XPO Logistics,2026-07-13,2026-07-25,,2194.5,620.8,3806.34,In Transit,Columbus,Welchport
SHP000240,ORD001137,WH001,CUST00327,VEH0029,Delhivery,2026-06-25,2026-06-26,2026-06-26,2552.3,4768.4,3334.35,In Transit,Chennai,Port Kenneth
SHP001451,ORD000436,WH008,CUST00199,VEH0012,BlueDart,2026-07-06,2026-07-12,2026-07-12,1186.5,1421.5,3337.93,In Transit,Singapore,North Anneland
SHP000189,ORD000171,WH010,CUST00567,VEH0056,In-house Fleet,2026-05-28,2026-06-05,2026-06-05,404.7,1221.8,66.19,Delayed,Newark,Jeremiahstad
SHP000711,ORD000663,wh012,CUST00188,VEH0012,In-house Fleet,2026-06-04,2026-06-09,2026-06-09,915.5,320.3,2449.71,Delayed,Hamburg,Lake Jonathan
SHP001270,ORD000095,WH013,CUST00170,VEH0022,BlueDart,2026-07-20,2026-08-01,2026-08-01,1491.0,843.6,2912.96,Delivered,Chennai,Toddborough
SHP000304,ORD000662,WH006,CUST00283,VEH0058,XPO Logistics,2026-03-29,2026-03-30,2026-03-30,2688.1,1616.6,3087.06,Out for Delivery,Atlanta,Davidbury
SHP000473,ORD000769,WH011,CUST00447,VEH0004,Delhivery,2026-07-02,2026-07-09,2026-07-09,860.6,4887.0,898.77,Cancelled,Newark,Lauraberg
SHP001197,ORD000225,WH004,CUST00343,VEH0011,XPO Logistics,2026-04-17,2026-04-23,2026-04-23,402.7,1925.4,405.99,Delayed,Columbus,Keithbury
SHP000530,ORD000864,WH002,CUST00482,VEH0043,XPO Logistics,2026-05-02,2026-05-07,,1190.7,3570.8,649.32,In Transit,Singapore,East Javierberg
SHP001487,ORD000683,WH013,CUST00107,VEH0057,In-house Fleet,2026-07-25,2026-08-01,2026-08-01,1181.3,4948.4,3149.74,Delivered,Chennai,South Andrebury
SHP000086,ORD001165,WH001,CUST00232,VEH0031,DHL,2026-05-01,2026-05-05,2026-05-05,621.7,2450.6,134.59,In Transit,Chennai,North Mark
SHP000401,ORD000469,WH001,CUST00210,VEH0025,DHL,2026-02-27,2026-03-04,2026-03-04,1473.5,577.8,779.47,Delivered,Chennai,Fordmouth
SHP001424,ORD000828,WH011,CUST00039,VEH0052,DHL,2026-03-22,2026-04-02,2026-04-02,2710.3,4853.4,2617.22,In Transit,Newark,Kellyhaven
SHP000440,ORD001005,WH007,CUST00325,VEH0051,In-house Fleet,2026-03-31,2026-04-12,,673.1,4370.8,983.04,In Transit,Delhi,East Gary
SHP000855,ORD000910,WH013,CUST00522,VEH0026,DHL,2026-05-24,2026-05-30,2026-05-30,957.9,3213.0,295.18,Delivered,Chennai,North Thomas
SHP000734,ORD000557,WH010,CUST00482,VEH0005,In-house Fleet,2026-05-18,2026-05-29,2026-05-29,198.3,3114.6,3987.08,Delayed,Newark,Alyssaland
SHP001102,ORD000432,WH006,CUST00013,VEH0018,Delhivery,2026-03-03,2026-03-06,2026-03-06,2615.7,1434.7,593.54,Delivered,Atlanta,Lewisborough
SHP000655,ORD000366,WH013,CUST00511,VEH0051,Delhivery,2026-05-05,2026-05-11,2026-05-11,2822.9,2385.0,1824.13,Cancelled,Chennai,North Erinberg
SHP001305,ORD000187,WH003,CUST00527,VEH0051,In-house Fleet,2026-05-09,2026-05-10,2026-05-10,2119.1,1825.2,88.67,Out for Delivery,Columbus,East Jeffery
SHP000230,ORD000584,WH006,CUST00415,VEH0009,In-house Fleet,2026-02-21,2026-03-05,2026-03-05,1270.1,3865.9,1761.85,Delayed,Atlanta,Lake Oliviatown
SHP000195,ORD000006,WH010,CUST00078,VEH0002,Delhivery,2026-04-24,2026-04-30,2026-04-30,2421.7,1991.7,1513.08,In Transit,Newark,North Susanville
SHP000005,ORD000406,WH004,CUST00246,VEH0059,Delhivery,2026-07-03,2026-07-07,2026-07-07,399.9,4917.0,1246.46,Cancelled,Columbus,Port Richard
SHP001339,ORD000979,WH004,CUST00205,VEH0043,XPO Logistics,2026-06-27,2026-07-06,2026-07-06,1566.3,1504.7,3988.31,Delivered,Columbus,Aprilchester
SHP000563,ORD000122,WH005,CUST00035,VEH0032,FedEx,2026-06-30,2026-07-07,2026-07-07,1112.0,30.3,1414.36,Delayed,Rotterdam,Lake Jeffreyland
SHP001475,ORD001141,WH009,CUST00599,VEH0003,Delhivery,2026-07-05,2026-07-17,2026-07-17,1135.3,1193.9,255.46,Delivered,Atlanta,West Aprilmouth
SHP000950,ORD001060,WH005,CUST00029,VEH0050,In-house Fleet,2026-07-01,2026-07-13,2026-07-13,-44.5,4569.5,3528.65,Delayed,Rotterdam,Brianshire
SHP000852,ORD000606,WH007,CUST00261,VEH0048,In-house Fleet,2026-02-27,2026-03-06,2026-03-06,1995.1,2009.0,3721.47,Out for Delivery,Delhi,Lopeztown
SHP001201,ORD000730,WH004,CUST00261,VEH0039,FedEx,2026-05-30,2026-06-08,2026-06-08,165.5,2463.1,1577.3,Cancelled,Columbus,Lake Kimberly
SHP000762,ORD000900,WH005,CUST00533,VEH0036,XPO Logistics,2026-02-21,2026-03-03,2026-03-03,58.6,4016.3,3928.3,Out for Delivery,Rotterdam,Calderonmouth
SHP001390,ORD000842,WH007,CUST00560,VEH0012,DHL,2026-02-18,2026-02-23,2026-02-23,930.1,177.1,2965.19,Delivered,Delhi,Carolshire
SHP001348,ORD000920,WH003,CUST00062,VEH0016,DHL,2026-04-05,2026-04-13,2026-04-13,2824.4,3539.4,788.87,Delivered,Columbus,North Julianmouth
SHP000976,ORD000042,WH003,CUST00119,VEH0003,BlueDart,2026-07-29,2026-08-08,2026-08-08,151.2,4754.7,475.62,Delivered,Columbus,Port Markville
SHP000603,ORD000946,WH014,CUST00093,VEH0042,In-house Fleet,2026-05-22,2026-05-23,2026-05-23,1317.9,3763.9,1513.33,Delivered,Atlanta,New Kristy
SHP000486,ORD000424,WH013,CUST00163,VEH0037,FedEx,2026-07-01,2026-07-10,2026-07-10,2545.6,4941.4,2543.81,Delayed,Chennai,South Michaelchester
SHP000987,ORD001139,WH008,CUST00560,VEH0057,XPO Logistics,2026-03-10,2026-03-19,2026-03-19,1535.7,2704.5,2274.92,Delayed,Singapore,Benjaminside
SHP000425,ORD000760,WH001,CUST00455,VEH0012,BlueDart,2026-04-18,2026-04-26,2026-04-26,1559.9,4354.4,2374.81,Out for Delivery,Chennai,North Stephaniebury
SHP000344,ORD001127,WH001,CUST00106,VEH0008,FedEx,2026-03-29,2026-04-07,,1812.1,2847.5,2375.17,In Transit,Chennai,Davidview
SHP000479,ORD000705,WH004,CUST00408,VEH0025,BlueDart,2026-06-20,2026-06-27,2026-06-27,1552.0,1010.4,589.46,Delivered,Columbus,Kelliberg
SHP000593,ORD000267,WH005,CUST00269,VEH0031,XPO Logistics,2026-03-09,2026-03-12,2026-03-12,1598.6,634.6,3132.42,Delivered,Rotterdam,West Robert
SHP001412,ORD000817,WH001,CUST00204,VEH0059,DHL,2026-04-21,2026-05-03,2026-05-03,481.3,4030.1,2236.74,Delivered,Chennai,Kaitlynhaven
SHP001095,ORD000673,WH014,CUST00557,VEH0052,DHL,2026-03-05,2026-03-08,2026-03-08,783.0,4672.7,3837.8,Out for Delivery,Atlanta,West Crystalton
SHP001151,ORD000876,WH008,CUST00199,VEH0023,Delhivery,2026-04-24,2026-05-06,2026-05-06,2252.6,2957.3,1556.46,Delivered,Singapore,West Colinfort
SHP001236,ORD000947,WH004,CUST00435,VEH0056,DHL,2026-05-23,2026-05-30,2026-05-30,924.9,601.4,3650.86,Out for Delivery,Columbus,Sarafurt
SHP001019,ORD001020,WH001,CUST00330,VEH0055,DHL,2026-08-01,2026-08-06,2026-08-06,1383.0,3796.8,2477.04,Cancelled,Chennai,Port Andrew
SHP000322,ORD000613,WH015,CUST00165,VEH0008,FedEx,2026-03-01,2026-03-03,2026-03-03,1139.0,1522.1,3425.0,In Transit,Atlanta,Lake Bryanshire
SHP000752,ORD000465,WH007,CUST00481,VEH0027,BlueDart,2026-05-20,2026-05-22,2026-05-22,1370.1,4792.4,3113.49,Cancelled,Delhi,Theodoreside
SHP000717,ORD000525,WH007,CUST00120,VEH0024,BlueDart,2026-03-19,2026-03-25,2026-03-25,2300.9,3615.2,1170.56,In Transit,Delhi,Jerrymouth
SHP000457,ORD000823,WH011,CUST00141,VEH0060,DHL,2026-04-06,2026-04-17,2026-04-17,1823.7,3174.1,401.45,Delivered,Newark,Norrisport
SHP000945,ORD000789,WH005,CUST00327,VEH0039,BlueDart,2026-06-09,2026-06-20,2026-06-20,177.1,4031.1,787.21,Delayed,Rotterdam,Millerburgh
SHP001028,ORD000317,WH009,CUST00478,VEH0028,Delhivery,2026-05-03,2026-05-11,2026-05-11,1526.9,744.3,441.68,Out for Delivery,Atlanta,Michellefurt
SHP000100,ORD000327,WH007,CUST00310,VEH0012,DHL,2026-07-18,2026-07-20,2026-07-20,1318.7,1624.5,3698.53,Delayed,Delhi,Starkmouth
SHP001056,ORD001069,WH014,CUST00459,VEH0006,In-house Fleet,2026-02-24,2026-02-25,2026-02-25,29.3,4529.9,2082.74,Out for Delivery,Atlanta,Dawnmouth
SHP000877,ORD000263,WH010,CUST00090,VEH0010,In-house Fleet,2026-06-08,2026-06-17,2026-06-17,1828.6,2853.9,2882.0,Delivered,Newark,East Angelafort
SHP000267,ORD001123,wh001,CUST00049,VEH0029,In-house Fleet,2026-03-03,2026-03-10,2026-03-10,2101.2,197.0,1070.43,Delayed,Chennai,Richardberg
SHP000594,ORD000802,WH006,CUST00234,VEH0014,Delhivery,2026-08-09,2026-08-17,,2882.6,3196.2,2891.81,In Transit,Atlanta,New Jenniferfurt
SHP000351,ORD000316,WH011,CUST00191,VEH0043,BlueDart,2026-05-04,2026-05-09,2026-05-09,510.7,1249.9,292.29,Out for Delivery,Newark,Port Tara
SHP000850,ORD000940,WH010,CUST00312,VEH0022,FedEx,2026-03-28,2026-03-29,2026-03-29,1830.3,2178.3,1614.97,Delivered,Newark,New Robinfort
SHP000596,ORD000855,WH005,CUST00018,VEH0049,Delhivery,2026-07-08,2026-07-13,2026-07-13,671.7,572.3,3605.94,Delivered,Rotterdam,Shafferport
SHP001159,ORD000787,WH003,CUST00354,VEH0056,Delhivery,2026-06-06,2026-06-16,,454.3,2509.3,2633.44,In Transit,Columbus,Crystalport
SHP000171,ORD000763,wh003,CUST00508,VEH0025,XPO Logistics,2026-07-29,2026-08-07,2026-08-07,546.1,3531.1,3539.66,In Transit,Columbus,North Emily
SHP001375,ORD000855,WH007,CUST00263,VEH0025,Delhivery,2026-07-27,2026-08-01,2026-08-01,1764.7,4589.2,1026.58,Cancelled,Delhi,Williamsbury
SHP000353,ORD000736,WH010,CUST00316,VEH0032,BlueDart,2026-05-09,2026-05-16,2026-05-16,2581.6,1150.1,1510.77,Delivered,Newark,Calderonbury
SHP001471,ORD000465,WH015,CUST00308,VEH0041,FedEx,2026-03-19,2026-03-22,2026-03-22,1584.3,3634.8,1038.97,Cancelled,Atlanta,West Tonistad
SHP000325,ORD000335,WH005,CUST00362,VEH0056,In-house Fleet,2026-08-10,2026-08-13,2026-08-13,1186.7,999.6,136.17,Delivered,Rotterdam,Lake Joshuaberg
SHP001013,ORD000384,WH010,CUST00461,VEH0047,Delhivery,2026-08-12,2026-08-17,,1354.9,4454.2,2246.36,In Transit,Newark,Paulport
SHP000745,ORD000961,WH015,CUST00462,VEH0036,XPO Logistics,2026-07-16,2026-07-24,2026-07-24,76.1,3031.8,1677.18,In Transit,Atlanta,New Jeremychester
SHP000194,ORD000042,WH013,CUST00013,VEH0009,XPO Logistics,2026-07-10,2026-07-12,2026-07-12,1179.7,1778.6,2775.06,In Transit,Chennai,Dominguezberg
SHP000647,ORD000053,WH014,CUST00002,VEH0055,DHL,2026-06-17,2026-06-29,2026-06-29,1632.5,4573.6,3858.95,Delivered,Atlanta,Phillipsfort
SHP000379,ORD000663,WH014,CUST00121,VEH0045,Delhivery,2026-04-30,2026-05-03,2026-05-03,722.3,4425.1,3480.92,Delivered,Atlanta,Lopezburgh
SHP000886,ORD000659,WH006,CUST00570,VEH0059,FedEx,2026-04-23,2026-05-04,2026-05-04,2559.4,4826.0,2848.8,Delivered,Atlanta,West Bradley
SHP001396,ORD000744,WH003,CUST00018,VEH0055,XPO Logistics,2026-03-29,2026-04-02,,2737.7,3349.3,1391.98,In Transit,Columbus,New Danielchester
SHP001358,ORD000828,WH013,CUST00498,VEH0026,Delhivery,2026-04-18,2026-04-30,,2051.6,1026.2,2715.94,In Transit,Chennai,Jonathanfurt
SHP001402,ORD000119,WH013,CUST00463,VEH0059,XPO Logistics,2026-02-27,2026-03-05,2026-03-05,1696.2,2430.1,1979.49,Delivered,Chennai,Brownport
SHP000390,ORD001061,WH004,CUST00553,VEH0006,XPO Logistics,2026-04-08,2026-04-15,2026-04-15,1240.3,4282.5,1274.82,Out for Delivery,Columbus,Lake Erin
SHP000977,ORD000343,WH002,CUST00409,VEH0056,In-house Fleet,2026-03-06,2026-03-14,,1511.5,4036.7,2221.07,In Transit,Singapore,Donaldhaven
SHP000747,ORD000459,WH002,CUST00058,VEH0037,Delhivery,2026-06-10,2026-06-15,2026-06-15,1820.2,2376.9,1178.68,Delivered,Singapore,Wrightside
SHP000791,ORD000663,WH010,CUST00413,VEH0002,FedEx,2026-07-08,2026-07-16,2026-07-16,2083.0,4597.7,133.35,Delivered,Newark,Ashleyborough
SHP000264,ORD000079,WH005,CUST00038,VEH0004,XPO Logistics,2026-08-01,2026-08-10,2026-08-10,2254.7,2115.0,3113.05,Delivered,Rotterdam,Millerburgh
SHP000973,ORD000189,WH010,CUST00198,VEH0049,Delhivery,2026-04-05,2026-04-06,2026-04-06,2655.0,4249.4,3053.08,Out for Delivery,Newark,Smithfurt
SHP001473,ORD000720,WH004,CUST00270,VEH0038,XPO Logistics,2026-08-12,2026-08-14,2026-08-14,1704.8,790.9,3115.45,Delivered,Columbus,East Jillianburgh
SHP000340,ORD000962,WH001,CUST00068,VEH0016,DHL,2026-04-08,2026-04-19,2026-04-19,1926.2,1586.2,656.05,Out for Delivery,Chennai,Bethchester
SHP001113,ORD001177,WH015,CUST00265,VEH0008,In-house Fleet,2026-08-12,2026-08-17,2026-08-17,2395.1,1519.7,2201.48,Delivered,Atlanta,Lake Ericbury
SHP000141,ORD001093,WH012,CUST00252,VEH0019,FedEx,2026-03-30,2026-04-02,2026-04-02,282.7,4109.9,3812.58,Delivered,Hamburg,Lake Brandonstad
SHP000291,ORD000031,WH004,CUST00458,VEH0049,XPO Logistics,2026-02-17,2026-02-22,2026-02-22,1712.9,3674.5,2966.06,Delivered,Columbus,Martinezberg
SHP000333,ORD000692,WH010,CUST00333,VEH0051,BlueDart,2026-04-28,2026-05-02,2026-05-02,1344.7,4121.8,2680.41,Delivered,Newark,Ramirezborough
SHP001374,ORD000113,WH002,CUST00209,VEH0060,FedEx,2026-02-28,2026-03-03,2026-03-03,714.6,4365.1,3702.39,Delivered,Singapore,Perkinsfurt
SHP001399,ORD000907,WH008,CUST00394,VEH0001,XPO Logistics,2026-07-26,2026-08-03,2026-08-03,871.7,3235.5,1021.89,Out for Delivery,Singapore,Kristenton
SHP001465,ORD000315,WH015,CUST00242,VEH0011,BlueDart,2026-05-16,2026-05-25,2026-05-25,1577.1,1838.0,2648.51,Delayed,Atlanta,Williamland
SHP000738,ORD000409,WH012,CUST00230,VEH0053,XPO Logistics,2026-06-25,2026-07-04,2026-07-04,2810.2,2219.0,2646.84,Delivered,Hamburg,East Erika
SHP000820,ORD000026,WH009,CUST00032,VEH0016,XPO Logistics,2026-04-15,2026-04-22,2026-04-22,295.1,780.2,3166.33,Delivered,Atlanta,West David
SHP000317,ORD001152,WH012,CUST00263,VEH0019,DHL,2026-02-16,2026-02-19,2026-02-19,2374.6,1794.9,178.84,Delayed,Hamburg,South Markmouth
SHP001090,ORD000828,WH010,CUST00353,VEH0040,FedEx,2026-05-11,2026-05-20,,904.8,1259.5,3090.36,In Transit,Newark,South Patrick
SHP000199,ORD001065,WH014,CUST00180,VEH0021,BlueDart,2026-06-07,2026-06-12,2026-06-12,2465.9,1090.6,2114.71,Delivered,Atlanta,Jessicastad
SHP000217,ORD001055,WH012,CUST00486,VEH0022,BlueDart,2026-04-03,2026-04-05,2026-04-05,1447.4,1940.2,3098.06,Delivered,Hamburg,East Alexandrashire
SHP001442,ORD000623,wh009,CUST00386,VEH0047,XPO Logistics,2026-08-05,2026-08-09,2026-08-09,1063.9,4272.8,1120.73,Out for Delivery,Atlanta,Port Anthony
SHP001450,ORD000023,wh013,CUST00062,VEH0035,BlueDart,2026-06-14,2026-06-21,2026-06-21,2755.1,587.3,1276.16,In Transit,Chennai,Franklinhaven
SHP001488,ORD000623,WH013,CUST00222,VEH0045,XPO Logistics,2026-07-23,2026-07-26,2026-07-26,1554.0,2353.2,937.14,Delivered,Chennai,Priceview
SHP000867,ORD001171,WH007,CUST00380,VEH0052,In-house Fleet,2026-02-19,2026-02-20,,2272.7,898.4,3474.91,In Transit,Delhi,Brownberg
SHP000816,ORD000476,WH006,CUST00562,VEH0031,XPO Logistics,2026-05-19,2026-05-31,2026-05-31,2048.0,2796.3,2027.16,Delivered,Atlanta,Benitezberg
SHP000132,ORD000886,WH015,CUST00181,VEH0031,Delhivery,2026-05-12,2026-05-18,2026-05-18,1228.5,2014.2,1480.66,Delivered,Atlanta,Lake Willie
SHP001188,ORD001014,wh010,CUST00168,VEH0055,In-house Fleet,2026-04-01,2026-04-08,2026-04-08,287.3,3141.4,1423.77,Out for Delivery,Newark,Jimmyville
SHP000205,ORD000879,WH003,CUST00356,VEH0034,XPO Logistics,2026-04-11,2026-04-16,2026-04-16,2946.2,347.3,2397.7,Delivered,Columbus,New Kenneth
SHP000988,ORD000925,WH014,CUST00558,VEH0014,Delhivery,2026-02-20,2026-02-23,,2208.7,1572.4,908.12,In Transit,Atlanta,Port Victoriaburgh
SHP001108,ORD000768,WH009,CUST00401,VEH0013,BlueDart,2026-04-29,2026-05-01,2026-05-01,2784.7,4626.1,2923.19,Cancelled,Atlanta,Martinstad
SHP000499,ORD000340,WH004,CUST00419,VEH0014,XPO Logistics,2026-07-26,2026-07-31,2026-07-31,217.2,310.2,647.22,Delivered,Columbus,Bautistaton
SHP000318,ORD000526,WH004,CUST00449,VEH0009,DHL,2026-07-12,2026-07-24,2026-07-24,1802.2,1253.2,2005.7,Delayed,Columbus,Robertport
SHP001124,ORD000433,WH015,CUST00094,VEH0045,DHL,2026-08-16,2026-08-27,2026-08-27,2632.6,4735.2,440.37,Delivered,Atlanta,West Darryl
SHP000265,ORD000913,WH013,CUST00121,VEH0043,XPO Logistics,2026-05-23,2026-05-24,2026-05-24,2576.1,888.4,2105.31,Delivered,Chennai,Nelsonborough
SHP001345,ORD000639,WH010,CUST00587,VEH0051,BlueDart,2026-06-12,2026-06-19,2026-06-19,929.5,2294.8,2786.28,In Transit,Newark,New Brian
SHP000839,ORD000976,WH001,CUST00335,VEH0020,In-house Fleet,2026-05-12,2026-05-24,2026-05-24,2328.3,899.9,1827.8,Delayed,Chennai,Lake Michaelborough
