feedback_id,shipment_id,customer_id,rating,on_time_delivery,comments,feedback_date,channel
FBK000157,SHP000940,CUST00128,3,NO,Item arrived damaged.,2026-05-23,Email Survey
FBK000158,SHP000661,CUST00369,5,No,,2026-07-17,App
FBK000159,SHP001267,CUST00302,3,No,"Great service, will order again.",2026-04-11,Website
FBK000160,SHP000898,CUST00023,2,NO,,2026-06-16,App
FBK000161,SHP000949,CUST00361,2,NO,,2026-04-20,Website
FBK000162,SHP001283,CUST00467,1,No,,2026-07-24,Email Survey
FBK000163,SHP000138,CUST00192,5,NO,,2026-07-01,App
FBK000164,SHP001093,CUST00345,4,Yes,Driver was late by several hours.,2026-06-18,Call Center
FBK000165,SHP000441,CUST00224,0,NO,Delivery was on time and package was in great condition.,2026-07-14,Call Center
FBK000166,SHP000037,CUST00004,1,No,"Great service, will order again.",2026-03-20,Website
FBK000167,SHP000173,CUST00356,5,NO,,2026-04-12,App
FBK000168,SHP000136,CUST00018,1,Yes,,2026-04-13,Email Survey
FBK000169,SHP000655,CUST00168,3,yes,,2026-05-10,Email Survey
FBK000170,SHP000811,CUST00331,5,yes,Wrong item delivered.,2026-05-07,App
FBK000171,SHP000731,CUST00533,5,Yes,Wrong item delivered.,2026-07-15,Call Center
FBK000172,SHP000355,CUST00271,2,Yes,"Great service, will order again.",2026-03-30,Email Survey
FBK000173,SHP000113,CUST00279,1,No,,2026-04-10,App
FBK000174,SHP000309,CUST00438,1,yes,Delivery was on time and package was in great condition.,2026-06-29,Email Survey
FBK000175,SHP000668,CUST00381,5,yes,,2026-05-05,Call Center
FBK000176,SHP000939,CUST00381,1,Yes,,2026-06-18,Website
FBK000177,SHP001279,CUST00176,2,NO,"Great service, will order again.",2026-05-22,Call Center
FBK000178,SHP001126,CUST00573,5,NO,Delivery was on time and package was in great condition.,2026-03-20,Call Center
FBK000179,SHP001131,CUST00544,1,yes,Delivery was on time and package was in great condition.,2026-06-21,App
FBK000180,SHP000790,CUST00199,3,No,Driver was late by several hours.,2026-03-19,Website
FBK000181,SHP000733,CUST00110,4,No,,2026-06-16,Call Center
FBK000182,SHP000100,CUST00319,3,NO,Driver was late by several hours.,2026-05-09,Website
FBK000183,SHP001245,CUST00283,4,yes,,2026-06-30,Call Center
FBK000184,SHP001024,CUST00370,2,NO,,2026-05-10,App
FBK000185,SHP000858,CUST00332,5,NO,"Great service, will order again.",2026-08-12,Call Center
FBK000186,SHP000769,CUST00269,1,yes,,2026-07-23,App
FBK000187,SHP000236,CUST00118,4,Yes,,2026-06-24,Email Survey
FBK000188,SHP001265,CUST00283,4,NO,Item arrived damaged.,2026-07-06,App
FBK000189,SHP000452,CUST00042,3,Yes,Wrong item delivered.,2026-08-04,Email Survey
FBK000190,SHP000720,CUST00550,5,NO,,2026-07-07,Call Center
FBK000191,SHP000887,CUST00191,5,NO,,2026-04-25,Email Survey
FBK000192,SHP001495,CUST00139,4,yes,"Great service, will order again.",2026-07-16,Website
FBK000193,SHP000316,CUST00063,3,No,Delivery was on time and package was in great condition.,2026-04-05,App
FBK000194,SHP000259,CUST00245,5,Yes,Delivery was on time and package was in great condition.,2026-04-17,Website
FBK000195,SHP001148,CUST00198,2,NO,,2026-04-11,Call Center
FBK000196,SHP000268,CUST00322,5,No,Wrong item delivered.,2026-05-19,App
FBK000197,SHP000942,CUST00142,2,Yes,"Great service, will order again.",2026-05-14,Email Survey
FBK000198,SHP001137,CUST00553,2,yes,,2026-07-31,Website
FBK000199,SHP000853,CUST00404,5,No,,2026-07-25,Website
FBK000200,SHP000284,CUST00476,5,NO,,2026-04-06,Website
FBK000201,SHP000917,CUST00179,4,yes,Item arrived damaged.,2026-05-16,App
FBK000202,SHP000919,CUST00109,3,Yes,Wrong item delivered.,2026-08-09,Website
FBK000203,SHP001194,CUST00027,1,Yes,Wrong item delivered.,2026-05-31,Website
FBK000204,SHP001075,CUST00430,2,NO,"Great service, will order again.",2026-05-28,Email Survey
FBK000205,SHP000550,CUST00230,4,No,Driver was late by several hours.,2026-08-06,Email Survey
FBK000206,SHP001300,CUST00141,1,yes,Item arrived damaged.,2026-04-21,Email Survey
FBK000207,SHP000766,CUST00024,4,Yes,,2026-04-28,Call Center
FBK000208,SHP001091,CUST00033,3,Yes,Delivery was on time and package was in great condition.,2026-06-28,Call Center
FBK000209,SHP000310,CUST00407,1,yes,Driver was late by several hours.,2026-06-17,Email Survey
FBK000210,SHP001444,CUST00427,0,NO,"Great service, will order again.",2026-04-19,Email Survey
FBK000211,SHP000576,CUST00035,5,NO,,2026-05-29,Call Center
FBK000212,SHP000016,CUST00305,4,yes,Item arrived damaged.,2026-07-29,App
FBK000213,SHP001457,CUST00325,1,No,Item arrived damaged.,2026-08-10,Call Center
FBK000214,SHP001447,CUST00027,1,Yes,Wrong item delivered.,2026-04-25,Website
FBK000215,SHP000785,CUST00507,3,Yes,Wrong item delivered.,2026-06-11,App
FBK000216,SHP001117,CUST00459,5,yes,Wrong item delivered.,2026-04-05,Email Survey
FBK000217,SHP000979,CUST00350,4,NO,Driver was late by several hours.,2026-06-13,Call Center
FBK000218,SHP001212,CUST00137,1,yes,Item arrived damaged.,2026-07-28,App
FBK000219,SHP000111,CUST00535,1,NO,"Great service, will order again.",2026-08-13,Website
FBK000220,SHP000412,CUST00362,3,Yes,Wrong item delivered.,2026-08-16,Call Center
FBK000221,SHP001385,CUST00177,5,yes,Item arrived damaged.,2026-04-04,Email Survey
FBK000222,SHP000477,CUST00266,2,No,,2026-07-30,Call Center
FBK000223,SHP000416,CUST00469,4,NO,Delivery was on time and package was in great condition.,2026-03-21,Call Center
FBK000224,SHP000405,CUST00461,2,Yes,Delivery was on time and package was in great condition.,2026-04-14,Website
FBK000225,SHP001157,CUST00101,3,Yes,,2026-03-28,Email Survey
FBK000226,SHP001399,CUST00191,4,No,Wrong item delivered.,2026-04-21,Call Center
FBK000227,SHP001128,CUST00333,1,NO,"Great service, will order again.",2026-07-22,Website
FBK000228,SHP000555,CUST00509,3,NO,,2026-08-13,Email Survey
FBK000229,SHP001390,CUST00182,1,NO,,2026-03-27,App
FBK000230,SHP001245,CUST00016,5,yes,,2026-04-07,App
FBK000231,SHP001142,CUST00564,2,Yes,,2026-04-22,App
FBK000232,SHP001368,CUST00367,2,Yes,Driver was late by several hours.,2026-06-09,Call Center
FBK000233,SHP000074,CUST00433,3,Yes,,2026-03-25,App
FBK000234,SHP000113,CUST00503,5,yes,Driver was late by several hours.,2026-04-07,Website
FBK000235,SHP000727,CUST00294,2,No,,2026-04-13,Email Survey
FBK000236,SHP000566,CUST00131,1,yes,"Great service, will order again.",2026-05-01,App
FBK000237,SHP001135,CUST00445,3,No,Item arrived damaged.,2026-04-18,Website
FBK000238,SHP000923,CUST00038,2,yes,Item arrived damaged.,2026-04-01,App
FBK000239,SHP000962,CUST00333,5,Yes,Item arrived damaged.,2026-06-19,Website
FBK000240,SHP001059,CUST00318,5,Yes,,2026-07-31,Email Survey
FBK000241,SHP001035,CUST00049,5,No,,2026-04-15,Email Survey
FBK000242,SHP000547,CUST00008,5,No,Wrong item delivered.,2026-05-22,App
FBK000243,SHP000336,CUST00196,2,Yes,,2026-04-01,Call Center
FBK000244,SHP001316,CUST00201,2,No,Wrong item delivered.,2026-05-08,Email Survey
FBK000245,SHP000491,CUST00502,2,Yes,Item arrived damaged.,2026-06-24,App
FBK000246,SHP000942,CUST00418,3,No,Delivery was on time and package was in great condition.,2026-07-10,Call Center
FBK000247,SHP000928,CUST00257,2,No,"Great service, will order again.",2026-07-31,App
FBK000248,SHP000797,CUST00106,5,NO,,2026-04-06,Call Center
FBK000249,SHP000063,CUST00445,2,yes,,2026-04-23,App
FBK000250,SHP001283,CUST00285,2,No,Driver was late by several hours.,2026-05-18,App
FBK000251,SHP000865,CUST00357,4,NO,,2026-06-08,Website
FBK000252,SHP000481,CUST00538,1,NO,Wrong item delivered.,2026-06-11,Website
FBK000253,SHP000429,CUST00491,1,yes,"Great service, will order again.",2026-03-18,App
FBK000254,SHP000029,CUST00479,4,yes,Driver was late by several hours.,2026-04-28,App
FBK000255,SHP000372,CUST00306,1,NO,"Great service, will order again.",2026-05-10,Email Survey
FBK000256,SHP000357,CUST00200,2,Yes,Wrong item delivered.,2026-06-14,Website
FBK000257,SHP000377,CUST00400,3,yes,Item arrived damaged.,2026-05-13,Call Center
FBK000258,SHP000572,CUST00379,2,NO,Wrong item delivered.,2026-04-24,Email Survey
FBK000259,SHP000728,CUST00279,3,NO,,2026-05-23,App
FBK000260,SHP001233,CUST00526,1,Yes,Driver was late by several hours.,2026-07-12,Call Center
FBK000261,SHP000853,CUST00120,4,Yes,Item arrived damaged.,2026-07-30,Website
FBK000262,SHP000165,CUST00311,1,Yes,,2026-05-25,Email Survey
FBK000263,SHP001178,CUST00061,2,NO,"Great service, will order again.",2026-08-03,App
FBK000264,SHP000468,CUST00012,2,yes,,2026-04-19,App
FBK000265,SHP001113,CUST00215,2,yes,,2026-07-08,App
FBK000266,SHP000290,CUST00040,4,NO,,2026-06-27,Website
FBK000267,SHP000362,CUST00382,1,Yes,,2026-04-05,Website
FBK000268,SHP000640,CUST00116,2,Yes,Item arrived damaged.,2026-07-19,Call Center
FBK000269,SHP000968,CUST00025,5,NO,,2026-05-22,Call Center
FBK000270,SHP001224,CUST00386,1,No,Item arrived damaged.,2026-07-09,Call Center
FBK000271,SHP000337,CUST00222,4,yes,"Great service, will order again.",2026-06-20,App
FBK000272,SHP000271,CUST00295,1,yes,,2026-08-16,Call Center
FBK000273,SHP000219,CUST00037,2,NO,Driver was late by several hours.,2026-07-09,Call Center
FBK000274,SHP000385,CUST00531,1,No,Wrong item delivered.,2026-07-26,App
FBK000275,SHP000589,CUST00500,2,NO,Delivery was on time and package was in great condition.,2026-04-03,Call Center
FBK000276,SHP000360,CUST00312,3,No,"Great service, will order again.",2026-04-28,App
FBK000277,SHP000896,CUST00109,4,NO,,2026-06-20,App
FBK000278,SHP000666,CUST00107,3,Yes,Driver was late by several hours.,2026-03-22,Email Survey
FBK000279,SHP001032,CUST00144,5,No,,2026-07-26,Website
FBK000280,SHP000077,CUST00170,2,NO,"Great service, will order again.",2026-06-20,Website
FBK000281,SHP001303,CUST00443,2,NO,,2026-07-24,Email Survey
FBK000282,SHP000698,CUST00600,5,NO,Driver was late by several hours.,2026-05-18,Website
FBK000283,SHP000585,CUST00026,2,No,"Great service, will order again.",2026-05-17,Call Center
FBK000284,SHP000999,CUST00482,5,Yes,Wrong item delivered.,2026-05-16,App
FBK000285,SHP001430,CUST00353,1,Yes,Item arrived damaged.,2026-05-30,App
FBK000286,SHP001496,CUST00216,2,yes,Driver was late by several hours.,2026-06-19,Call Center
FBK000287,SHP000412,CUST00532,2,yes,,2026-05-09,Email Survey
FBK000288,SHP000930,CUST00241,4,Yes,Item arrived damaged.,2026-03-24,App
FBK000289,SHP000187,CUST00421,1,NO,,2026-04-18,App
FBK000290,SHP000788,CUST00239,3,NO,Delivery was on time and package was in great condition.,2026-07-29,Email Survey
FBK000291,SHP001104,CUST00512,3,NO,Driver was late by several hours.,2026-03-22,Website
FBK000292,SHP000622,CUST00151,1,NO,"Great service, will order again.",2026-07-03,Call Center
FBK000293,SHP000447,CUST00434,3,NO,Delivery was on time and package was in great condition.,2026-06-10,App
FBK000294,SHP000758,CUST00110,5,Yes,"Great service, will order again.",2026-07-07,Website
FBK000295,SHP000438,CUST00539,4,No,Wrong item delivered.,2026-05-26,Email Survey
FBK000296,SHP001246,CUST00307,2,No,,2026-04-15,App
FBK000297,SHP001335,CUST00419,4,NO,,2026-05-14,Call Center
FBK000298,SHP000055,CUST00479,4,Yes,Driver was late by several hours.,2026-07-04,Email Survey
FBK000299,SHP000861,CUST00367,5,No,Delivery was on time and package was in great condition.,2026-07-26,App
FBK000300,SHP000477,CUST00126,2,No,Delivery was on time and package was in great condition.,2026-04-04,Call Center
FBK000301,SHP001293,CUST00555,2,yes,Delivery was on time and package was in great condition.,2026-06-07,Call Center
FBK000302,SHP000976,CUST00449,4,yes,,2026-06-08,App
FBK000303,SHP001322,CUST00248,3,No,Delivery was on time and package was in great condition.,2026-06-25,Website
FBK000304,SHP000975,CUST00327,5,yes,"Great service, will order again.",2026-05-23,Email Survey
FBK000305,SHP000129,CUST00239,1,Yes,Delivery was on time and package was in great condition.,2026-07-01,App
FBK000306,SHP001272,CUST00452,5,NO,,2026-04-28,App
FBK000307,SHP001141,CUST00388,4,No,Item arrived damaged.,2026-04-25,Call Center
FBK000308,SHP001255,CUST00546,5,No,"Great service, will order again.",2026-06-19,App
FBK000309,SHP001303,CUST00077,4,Yes,,2026-03-29,Call Center
FBK000310,SHP000740,CUST00592,4,NO,,2026-04-24,Website
FBK000311,SHP000642,CUST00164,2,NO,"Great service, will order again.",2026-07-15,Website
FBK000312,SHP000344,CUST00123,3,Yes,Delivery was on time and package was in great condition.,2026-05-17,Email Survey
FBK000313,SHP000164,CUST00375,5,No,Item arrived damaged.,2026-07-26,Email Survey
FBK000314,SHP000966,CUST00086,2,Yes,Driver was late by several hours.,2026-06-13,App
FBK000315,SHP000763,CUST00208,4,No,,2026-08-09,Call Center
FBK000316,SHP000363,CUST00113,2,No,,2026-07-27,App
FBK000317,SHP000878,CUST00441,3,Yes,,2026-07-30,Website
FBK000318,SHP000366,CUST00465,5,Yes,Driver was late by several hours.,2026-07-19,Call Center
FBK000319,SHP001479,CUST00111,3,Yes,"Great service, will order again.",2026-05-05,Email Survey
FBK000320,SHP001423,CUST00210,1,No,,2026-05-22,Call Center
FBK000321,SHP001066,CUST00500,3,NO,,2026-07-18,App
FBK000322,SHP000690,CUST00143,4,No,,2026-07-21,Website
FBK000323,SHP001270,CUST00448,1,Yes,Delivery was on time and package was in great condition.,2026-05-30,Website
FBK000324,SHP000336,CUST00179,5,Yes,Wrong item delivered.,2026-05-31,Email Survey
FBK000325,SHP000621,CUST00240,4,NO,Item arrived damaged.,2026-03-20,Call Center
FBK000326,SHP001324,CUST00047,5,Yes,,2026-08-05,Website
FBK000327,SHP001298,CUST00424,2,Yes,,2026-04-18,Call Center
FBK000328,SHP000130,CUST00283,1,No,Delivery was on time and package was in great condition.,2026-06-25,Email Survey
FBK000329,SHP000607,CUST00057,2,yes,Driver was late by several hours.,2026-05-12,Call Center
FBK000330,SHP001231,CUST00394,4,yes,Item arrived damaged.,2026-08-10,Call Center
FBK000331,SHP001282,CUST00491,2,yes,Driver was late by several hours.,2026-07-07,Call Center
FBK000332,SHP000088,CUST00511,1,NO,Driver was late by several hours.,2026-04-29,App
FBK000333,SHP001290,CUST00099,1,NO,Delivery was on time and package was in great condition.,2026-05-02,Call Center
FBK000334,SHP000739,CUST00502,1,Yes,,2026-04-04,App
FBK000335,SHP000101,CUST00587,4,yes,,2026-05-15,App
