gps_ping_id,vehicle_id,timestamp,latitude,longitude,speed_kmph,heading_deg,ignition_status,fuel_level_pct
GPS0000229,VEH0010,2026-02-05 12:27:00,-14.882561,32.488101,3.8,146,ON,50.4
GPS0001381,VEH0015,2026-01-26 09:09:00,77.685553,176.19791,69.1,307,OFF,80.4
GPS0000322,VEH0024,2026-03-19 20:30:00,-71.305532,25.606197,54.8,120,OFF,31.1
GPS0000005,VEH0022,2026-06-05 21:03:00,106.191651,-45.776783,81.3,330,ON,52.2
GPS0001543,VEH0009,2026-03-07 21:22:00,-39.7652,-69.221634,74.8,26,OFF,59.1
GPS0000995,VEH0027,2026-01-21 22:36:00,32.143113,-40.883278,114.9,28,ON,68.7
GPS0000288,VEH0030,2026-07-04 00:26:00,25.780465,19.601011,94.7,314,OFF,73.2
GPS0000307,VEH0048,2026-01-18 15:53:00,-37.208124,-115.34225,89.9,190,ON,25.3
GPS0002106,VEH0007,2026-02-06 04:17:00,-73.335086,-64.823223,13.0,168,OFF,25.3
GPS0001931,VEH0016,2026-04-02 00:39:00,-19.320635,49.145755,63.7,102,ON,84.9
GPS0002454,VEH0003,2026-01-02 16:07:00,-60.396307,-63.56391,90.5,206,OFF,81.8
GPS0001729,VEH0031,2026-04-19 07:48:00,21.07321,-178.411703,79.8,342,ON,36.3
GPS0001232,VEH0020,2026-01-02 11:51:00,14.539679,42.605228,96.8,261,OFF,39.4
GPS0001560,VEH0054,2026-01-29 01:50:00,23.217513,-58.073599,106.0,20,OFF,92.5
GPS0000640,VEH0011,2026-04-18 06:16:00,50.49861,10.891711,60.1,188,ON,43.7
GPS0002116,VEH0052,2026-01-11 14:09:00,23.637029,-23.096318,102.9,153,ON,24.4
GPS0001085,VEH0003,2026-02-16 01:06:00,-17.060269,-164.982417,22.2,28,OFF,59.7
GPS0000082,VEH0027,2026-03-05 11:21:00,71.33162,-122.346063,84.6,333,OFF,24.5
GPS0001809,VEH0006,2026-01-27 15:42:00,-20.732671,-151.281957,76.8,133,ON,10.5
GPS0000661,VEH0043,2026-06-30 14:06:00,173.228854,-50.050723,93.1,224,ON,86.2
GPS0000860,VEH0054,2026-03-08 08:46:00,-15.978183,156.711267,70.0,311,ON,44.5
GPS0002342,VEH0055,2026-02-05 10:31:00,95.03296,137.433905,2.3,51,OFF,53.9
GPS0000178,VEH0053,2026-06-15 19:12:00,-7.225879,33.362816,7.1,105,ON,91.7
GPS0000768,VEH0044,2026-06-05 04:18:00,-57.099525,99.978168,54.3,15,OFF,72.3
GPS0000676,VEH0031,2026-06-24 03:58:00,-45.906524,-19.416706,23.0,338,ON,25.4
GPS0001833,VEH0017,2026-05-03 20:19:00,-57.101661,-127.678728,99.3,338,OFF,51.8
GPS0001961,VEH0048,2026-01-22 06:27:00,67.296881,46.111284,86.4,185,OFF,7.6
GPS0000726,VEH0004,2026-02-02 23:46:00,-59.459294,-31.530307,26.6,222,ON,90.2
GPS0001914,VEH0004,2026-05-15 02:34:00,27.14564,150.482428,20.3,229,OFF,78.3
GPS0002077,VEH0039,2026-07-14 02:57:00,24.012737,19.101165,46.0,35,ON,27.0
GPS0001449,VEH0040,2026-07-16 09:41:00,40.793091,112.48332,11.5,308,ON,55.9
GPS0000643,VEH0048,2026-06-02 23:05:00,-61.534465,24.392804,42.2,214,OFF,14.9
GPS0000439,VEH0055,2026-05-22 22:04:00,84.257338,-38.627268,20.9,146,OFF,35.1
GPS0001597,VEH0001,2026-02-11 16:49:00,79.558953,52.419439,30.7,278,OFF,94.3
GPS0001495,VEH0042,2026-06-15 16:32:00,-64.003654,-22.821898,104.2,255,OFF,50.9
GPS0002009,VEH0004,2026-04-10 19:28:00,22.412535,-85.672244,98.8,38,ON,99.7
GPS0001370,VEH0001,2026-07-15 14:36:00,-43.628982,154.158278,24.1,203,OFF,31.1
GPS0002419,VEH0025,2026-03-20 02:42:00,22.329288,73.819566,53.7,63,ON,88.1
GPS0001988,VEH0016,2026-04-19 03:12:00,-80.492006,-152.26267,77.5,289,ON,54.3
GPS0002159,VEH0054,2026-01-05 17:11:00,64.60765,27.13664,67.9,45,OFF,73.6
GPS0000749,VEH0056,2026-05-17 22:59:00,88.558927,-115.791944,100.3,22,ON,33.9
GPS0000103,VEH0003,2026-01-08 00:28:00,13.083522,58.991,95.0,119,ON,13.2
GPS0001604,VEH0045,2026-04-18 13:35:00,2.103613,-10.850795,18.1,226,OFF,91.4
GPS0000701,VEH0020,2026-02-12 05:23:00,-10.956893,52.479083,115.5,333,OFF,6.0
GPS0001766,VEH0051,2026-01-10 06:16:00,45.699229,137.990726,54.4,312,OFF,57.3
GPS0001615,VEH0021,2026-02-18 15:40:00,-17.884486,145.516253,13.0,190,OFF,49.4
GPS0000921,VEH0049,2026-04-07 03:38:00,-50.118244,-118.995949,66.4,334,OFF,80.8
GPS0000709,VEH0046,2026-05-07 01:15:00,53.563836,-105.646388,6.1,172,OFF,38.2
GPS0002341,VEH0012,2026-04-01 11:05:00,59.975249,65.048585,66.1,56,OFF,50.7
GPS0000286,VEH0023,2026-03-19 21:23:00,64.110284,-157.286671,106.0,45,ON,65.3
GPS0000837,VEH0023,2026-07-17 22:23:00,85.674074,-130.212865,15.9,225,ON,47.1
GPS0000714,VEH0031,2026-05-24 18:57:00,-15.008103,-178.272573,43.2,297,OFF,83.5
GPS0001894,VEH0026,2026-05-22 23:10:00,-5.443254,-50.774443,61.4,109,ON,17.0
GPS0001672,VEH0023,2026-06-08 08:39:00,0.690949,165.019346,104.6,298,ON,12.6
GPS0001946,VEH0058,2026-06-06 03:12:00,64.707035,-101.949308,94.1,275,ON,95.0
GPS0001691,VEH0049,2026-01-28 05:15:00,-18.700903,-71.941205,77.7,114,OFF,86.5
GPS0000303,VEH0035,2026-07-14 13:00:00,-66.873456,-55.634858,108.7,200,ON,45.8
GPS0001917,VEH0051,2026-04-08 11:45:00,-62.945562,-67.515759,46.6,81,ON,30.2
GPS0001490,VEH0012,2026-05-19 00:30:00,74.205012,122.376261,112.2,220,OFF,44.8
GPS0001920,VEH0005,2026-03-15 05:50:00,-86.671928,-168.376259,57.6,186,OFF,71.5
GPS0000606,VEH0023,2026-05-18 16:48:00,-7.447091,154.496615,19.8,75,ON,62.7
GPS0002334,VEH0055,2026-04-10 14:49:00,29.381889,-10.306869,64.6,226,OFF,0.9
GPS0000918,VEH0019,2026-05-20 21:06:00,35.760918,-87.42851,82.9,203,OFF,49.9
GPS0001168,VEH0011,2026-04-23 11:31:00,-23.7213,105.052382,68.5,106,OFF,26.8
GPS0001844,VEH0025,2026-05-02 08:41:00,30.134645,-48.092339,13.8,244,OFF,97.9
GPS0000570,VEH0006,2026-01-08 00:10:00,128.043219,-126.700171,26.9,91,OFF,8.2
GPS0001823,VEH0037,2026-04-16 23:50:00,-89.395886,91.363257,89.6,112,OFF,1.9
GPS0000935,VEH0028,2026-03-28 15:27:00,33.754958,136.988318,45.1,104,OFF,62.0
GPS0001451,VEH0058,2026-06-25 08:38:00,19.48085,-95.085012,117.5,22,OFF,52.7
GPS0001205,VEH0042,2026-07-12 12:28:00,54.699348,-11.90681,62.0,35,OFF,93.6
GPS0000204,VEH0020,2026-01-18 08:50:00,65.874226,-21.466034,56.4,289,ON,18.2
GPS0000196,VEH0030,2026-04-23 15:34:00,-30.426775,153.182459,116.5,285,OFF,40.8
GPS0001291,VEH0051,2026-01-23 19:53:00,-5.705184,-41.71766,77.6,310,OFF,88.8
GPS0000560,VEH0054,2026-04-16 18:40:00,15.007283,-33.463213,15.2,33,OFF,72.4
GPS0000206,VEH0038,2026-07-18 04:01:00,-64.081768,-110.059888,17.5,53,ON,19.3
GPS0001808,VEH0005,2026-02-03 16:34:00,73.617111,83.1296,44.4,133,ON,28.6
GPS0000293,VEH0049,2026-01-29 08:47:00,-87.392373,-126.472145,53.0,259,OFF,99.2
GPS0002152,VEH0002,2026-03-26 19:34:00,77.771636,-40.403374,41.2,94,OFF,46.5
GPS0002275,VEH0024,2026-02-23 09:57:00,26.557856,-66.691368,69.9,158,ON,32.4
GPS0000983,VEH0008,2026-07-10 18:26:00,-4.734163,33.321145,95.6,255,OFF,58.1
GPS0000878,VEH0018,2026-06-16 21:28:00,-26.280606,-11.834487,15.7,269,ON,93.4
GPS0000066,VEH0028,2026-06-19 17:23:00,2.614825,-20.047128,84.8,305,OFF,39.7
GPS0002176,VEH0016,2026-04-04 07:12:00,25.444861,-14.17676,100.2,267,ON,62.9
GPS0000651,VEH0011,2026-07-15 01:32:00,-25.163603,-167.81724,7.3,52,ON,55.7
GPS0001417,VEH0022,2026-07-09 09:30:00,50.718284,-127.914224,78.5,282,OFF,31.8
GPS0001681,VEH0036,2026-05-04 11:15:00,22.19995,0.182533,69.5,95,OFF,2.7
GPS0001467,VEH0038,2026-07-08 21:52:00,77.271291,177.932353,14.0,151,OFF,10.2
GPS0002263,VEH0011,2026-02-28 01:49:00,-49.217659,131.039163,85.9,186,ON,7.9
GPS0001587,VEH0010,2026-03-04 11:11:00,4.527466,-81.258961,112.7,182,ON,4.5
GPS0001308,VEH0018,2026-06-30 17:58:00,76.945684,41.585408,118.7,58,OFF,99.7
GPS0000779,VEH0037,2026-03-04 16:50:00,-85.163175,172.32144,118.8,178,ON,95.8
GPS0001202,VEH0037,2026-05-08 11:17:00,30.75692,7.982324,53.2,310,ON,77.6
GPS0000541,VEH0005,2026-05-31 20:03:00,41.158577,-40.719786,4.1,216,OFF,58.7
GPS0001557,VEH0010,2026-06-11 04:08:00,24.887599,176.840888,103.7,133,OFF,30.9
GPS0001249,VEH0050,2026-04-02 15:07:00,37.924548,82.632169,45.5,23,OFF,58.1
GPS0001364,VEH0047,2026-03-24 07:08:00,55.070504,108.517009,53.9,247,OFF,91.9
GPS0000976,VEH0034,2026-06-20 07:04:00,23.003169,-132.857933,66.0,341,OFF,22.6
GPS0001231,VEH0020,2026-03-13 11:12:00,-43.895211,67.287241,38.5,289,ON,19.2
GPS0001627,VEH0017,2026-06-08 17:06:00,70.526575,81.472547,109.0,299,OFF,51.6
GPS0000534,VEH0032,2026-05-30 11:39:00,-50.115137,-85.850462,19.9,290,ON,18.8
GPS0001428,VEH0005,2026-04-04 05:28:00,-37.055085,-148.784969,0.0,196,ON,68.5
GPS0001570,VEH0030,2026-04-17 00:28:00,-14.072628,170.558073,92.0,31,ON,61.4
GPS0001386,VEH0011,2026-05-09 23:55:00,-86.771616,90.878086,99.1,128,OFF,65.9
GPS0001981,VEH0042,2026-03-26 20:29:00,-59.520222,-138.446115,103.7,263,OFF,62.3
GPS0000894,VEH0049,2026-04-14 11:11:00,4.850087,-84.031448,26.6,57,OFF,24.0
GPS0000368,VEH0045,2026-05-05 00:03:00,17.634397,102.27771,114.5,151,ON,3.9
GPS0000919,VEH0009,2026-05-17 10:51:00,-61.649111,-146.097835,12.2,166,OFF,74.7
GPS0001579,VEH0012,2026-05-18 05:29:00,62.336087,81.162451,16.2,147,OFF,35.7
GPS0000846,VEH0038,2026-05-19 19:38:00,-15.532109,177.892842,85.5,128,ON,17.8
GPS0001642,VEH0058,2026-05-31 20:55:00,1.394468,94.116078,21.6,256,OFF,99.7
GPS0001477,VEH0054,2026-03-14 09:30:00,-59.729366,41.95149,69.2,105,OFF,52.4
GPS0001375,VEH0058,2026-04-06 03:15:00,50.75766,-8.355188,82.9,209,OFF,54.9
GPS0001995,VEH0060,2026-03-13 23:38:00,6.575524,114.281174,113.5,282,OFF,13.7
GPS0000675,VEH0040,2026-03-19 01:13:00,34.23298,-163.24313,103.1,220,ON,54.3
GPS0001133,VEH0051,2026-03-21 08:34:00,62.706348,-30.172844,10.9,119,ON,19.4
GPS0000599,VEH0024,2026-01-26 19:06:00,84.953481,32.872662,105.9,284,ON,11.6
GPS0002037,VEH0052,2026-01-14 08:17:00,39.741375,-118.208488,41.1,52,OFF,80.0
GPS0002218,VEH0024,2026-07-10 02:34:00,6.960465,21.064395,85.6,294,OFF,29.9
GPS0001238,VEH0036,2026-02-19 08:15:00,27.760499,-179.487347,59.2,30,ON,34.5
GPS0002045,VEH0040,2026-05-09 06:17:00,46.109718,-146.62416,31.6,311,OFF,80.5
GPS0001516,VEH0039,2026-02-18 09:17:00,60.593089,-164.176218,39.6,186,ON,40.3
GPS0001355,VEH0017,2026-01-24 16:40:00,82.53925,81.13764,58.4,148,OFF,54.1
GPS0001143,VEH0041,2026-03-26 20:59:00,-78.400688,-137.134522,60.1,338,ON,85.6
GPS0000315,VEH0030,2026-02-25 09:05:00,53.782184,5.482748,13.9,79,ON,82.7
GPS0001130,VEH0053,2026-04-09 12:36:00,-0.292249,149.038892,62.4,125,OFF,53.9
GPS0001866,VEH0033,2026-07-08 12:33:00,73.949609,-84.000258,112.8,255,ON,24.9
GPS0002440,VEH0009,2026-03-20 18:34:00,-57.137687,-48.271912,1.0,190,ON,25.1
GPS0002141,VEH0023,2026-04-19 02:41:00,79.532776,91.349394,110.2,113,ON,78.9
GPS0000276,VEH0010,2026-07-08 02:21:00,-57.453877,137.765309,34.4,317,OFF,95.6
GPS0000944,VEH0044,2026-03-30 10:14:00,53.100326,-178.913765,54.9,300,ON,56.7
GPS0001141,VEH0060,2026-07-10 10:26:00,49.16345,2.518326,80.4,303,ON,21.4
GPS0002123,VEH0034,2026-05-26 03:06:00,-34.829514,7.176088,50.5,176,OFF,17.9
GPS0002384,VEH0001,2026-01-12 04:36:00,-18.88987,68.840506,47.3,311,ON,93.5
GPS0001743,VEH0025,2026-05-29 10:07:00,-8.002481,-113.156889,,171,ON,63.3
GPS0002344,VEH0015,2026-03-08 02:06:00,-42.595254,-68.491235,30.1,95,OFF,22.9
GPS0000786,VEH0051,2026-05-24 00:53:00,-67.560857,69.978261,68.3,43,ON,3.9
GPS0000172,VEH0015,2026-03-11 19:09:00,21.757968,-135.383517,94.1,119,OFF,34.8
GPS0000404,VEH0021,2026-01-28 01:31:00,0.891875,-46.823383,99.3,101,ON,96.1
GPS0000109,VEH0047,2026-01-09 19:29:00,-16.918827,-137.39007,74.5,270,ON,82.9
GPS0000886,VEH0053,2026-01-20 00:33:00,163.558511,-110.337461,18.6,80,ON,26.7
GPS0002301,VEH0011,2026-03-28 22:24:00,-75.177262,-146.279687,73.9,329,OFF,96.4
GPS0000018,VEH0023,2026-07-06 19:54:00,-43.109655,29.809933,119.1,87,OFF,54.8
GPS0000821,VEH0027,2026-01-29 03:27:00,65.529753,-0.869443,59.2,192,OFF,96.5
GPS0002043,VEH0047,2026-06-28 23:19:00,33.770263,28.44287,19.2,32,ON,21.9
GPS0000138,VEH0045,2026-03-29 17:30:00,66.017746,151.671953,61.7,129,OFF,22.3
GPS0000556,VEH0051,2026-07-15 09:19:00,-74.507192,165.823068,43.6,341,OFF,53.0
GPS0001371,VEH0030,2026-07-03 04:59:00,81.596396,-97.28292,57.3,209,OFF,71.4
GPS0002377,VEH0060,2026-01-24 12:54:00,-47.235594,-149.905553,84.4,70,OFF,59.0
GPS0001272,VEH0053,2026-04-21 05:17:00,-38.17812,26.520353,10.2,358,ON,18.7
GPS0001397,VEH0027,2026-05-08 00:40:00,82.839939,-97.572285,70.8,180,ON,14.3
GPS0000305,VEH0058,2026-02-22 21:05:00,-0.259499,140.011394,95.1,55,ON,88.2
GPS0002184,VEH0035,2026-04-26 04:07:00,-36.216675,29.061841,0.1,39,ON,29.5
GPS0001991,VEH0040,2026-07-11 12:06:00,22.137959,-119.428942,38.2,144,ON,41.5
GPS0001683,VEH0051,2026-02-12 05:00:00,-41.164445,-105.725447,105.2,18,OFF,25.5
GPS0002352,VEH0024,2026-04-08 08:49:00,86.175148,-114.269238,118.4,5,OFF,69.1
GPS0000789,VEH0007,2026-05-03 12:26:00,-40.182287,-15.581996,64.1,166,OFF,8.0
GPS0000791,VEH0013,2026-01-04 17:55:00,54.227407,140.653773,104.3,245,ON,29.4
GPS0000746,VEH0043,2026-03-18 04:58:00,59.881413,-84.994428,49.7,143,OFF,79.8
GPS0001661,VEH0033,2026-06-21 13:16:00,-73.639416,-45.711534,34.7,221,OFF,78.4
GPS0001293,VEH0046,2026-03-26 15:07:00,-28.088373,-55.209209,116.3,62,OFF,86.3
GPS0001968,VEH0011,2026-06-16 19:59:00,-43.392222,-149.496595,98.5,41,OFF,30.7
GPS0000645,VEH0038,2026-06-14 10:11:00,65.679499,-21.403619,9.0,229,ON,63.7
GPS0001504,VEH0056,2026-01-25 20:41:00,50.506117,-20.39474,82.1,44,ON,19.1
GPS0000706,VEH0002,2026-02-04 16:30:00,-69.933393,151.287951,33.4,229,ON,14.2
GPS0002460,VEH0052,2026-05-17 13:57:00,-60.28597,-20.258396,87.7,314,ON,33.4
GPS0001074,VEH0033,2026-06-27 13:30:00,87.893841,110.150402,105.5,52,ON,35.1
GPS0001564,VEH0034,2026-02-06 21:55:00,80.190381,29.882834,24.0,233,OFF,88.9
GPS0002185,VEH0001,2026-07-09 19:58:00,9.251765,118.684581,52.0,41,ON,96.8
GPS0000121,VEH0008,2026-04-28 08:09:00,72.074189,151.943157,80.2,88,ON,29.5
GPS0000189,VEH0036,2026-01-04 12:37:00,40.637338,143.322745,74.8,172,ON,37.6
GPS0002161,VEH0034,2026-05-02 09:45:00,79.498177,-27.570685,82.9,89,ON,98.2
GPS0001510,VEH0015,2026-06-10 00:51:00,84.453259,128.167709,101.6,243,OFF,30.1
GPS0001010,VEH0058,2026-05-12 13:43:00,-1.096074,2.379724,82.3,109,ON,56.5
GPS0001437,VEH0012,2026-04-26 18:18:00,-49.16085,55.819792,45.5,69,ON,5.5
GPS0002039,VEH0058,2026-02-16 23:48:00,2.623827,-111.66145,52.8,301,OFF,87.5
GPS0000994,VEH0043,2026-02-06 06:15:00,-13.758811,-94.090673,111.4,216,OFF,90.8
GPS0002120,VEH0040,2026-02-25 12:27:00,29.823077,-115.87467,45.0,135,OFF,23.2
GPS0000281,VEH0004,2026-02-18 00:26:00,-49.222925,68.662294,4.9,193,ON,15.9
GPS0000487,VEH0039,2026-03-04 11:42:00,47.333676,101.033185,34.5,24,OFF,0.2
GPS0001404,VEH0023,2026-06-15 02:24:00,31.196426,170.709811,43.9,344,OFF,15.6
GPS0002040,VEH0031,2026-01-14 23:03:00,20.720564,23.882522,47.7,176,OFF,63.4
GPS0001699,VEH0036,2026-07-13 02:37:00,11.091623,-119.873192,59.0,108,OFF,38.4
GPS0001515,VEH0014,2026-04-26 17:16:00,34.484989,53.389522,106.7,110,OFF,96.6
GPS0001945,VEH0056,2026-03-01 08:54:00,82.712437,127.660925,102.5,229,OFF,41.7
GPS0001366,VEH0043,2026-01-05 03:18:00,-42.44972,-125.547183,7.1,9,ON,33.9
GPS0000440,VEH0047,2026-05-11 00:31:00,-59.399123,82.828938,60.4,149,ON,17.8
GPS0002335,VEH0051,2026-05-11 23:55:00,-40.638686,2.613953,19.7,278,ON,62.4
GPS0002479,VEH0002,2026-03-17 23:14:00,55.157993,112.87516,38.8,287,OFF,44.6
GPS0001673,VEH0009,2026-01-01 17:46:00,79.832447,63.823616,100.7,232,OFF,79.3
GPS0001609,VEH0035,2026-07-15 19:45:00,9.72244,-60.149075,102.2,58,OFF,41.5
GPS0000784,VEH0014,2026-07-01 23:29:00,-49.082451,-131.568714,47.4,121,ON,11.7
GPS0002323,VEH0034,2026-04-23 03:28:00,-32.847447,-79.608702,65.8,321,OFF,66.9
GPS0000814,VEH0034,2026-01-09 04:59:00,-50.368839,-157.626161,59.5,304,OFF,95.8
GPS0000694,VEH0060,2026-06-09 13:01:00,-44.469385,-167.217047,41.2,239,ON,12.4
GPS0000545,VEH0033,2026-03-26 14:03:00,-80.798086,47.017078,2.2,317,ON,8.4
GPS0000764,VEH0032,2026-05-03 10:11:00,-64.766103,-179.550887,75.0,238,OFF,24.1
GPS0000120,VEH0021,2026-03-22 16:37:00,-65.800397,114.936928,62.3,161,OFF,35.1
GPS0001110,VEH0032,2026-06-12 21:59:00,-53.227908,67.486332,79.6,81,OFF,71.9
GPS0000367,VEH0024,2026-05-12 00:32:00,71.12004,136.32032,4.8,20,ON,90.5
GPS0001229,VEH0027,2026-04-17 10:14:00,8.423605,118.979756,98.6,222,ON,30.3
GPS0000817,VEH0026,2026-02-18 16:56:00,-80.848699,-133.309419,49.3,87,OFF,47.5
GPS0000558,VEH0007,2026-06-19 13:46:00,-86.663859,-27.001156,22.6,250,OFF,21.7
GPS0002265,VEH0055,2026-06-27 20:30:00,30.937428,95.212899,119.2,261,OFF,19.2
GPS0000041,VEH0021,2026-06-01 21:47:00,-36.99127,-160.91926,104.5,325,ON,51.5
GPS0000805,VEH0048,2026-07-18 09:54:00,32.766762,-110.053713,88.2,104,OFF,4.7
GPS0000059,VEH0022,2026-03-13 05:48:00,70.372972,-95.76662,2.6,10,OFF,23.6
GPS0002087,VEH0003,2026-06-24 01:02:00,-35.223562,-49.107093,87.0,345,OFF,26.9
GPS0002097,VEH0053,2026-04-11 17:31:00,47.201409,35.291355,74.9,321,ON,63.6
GPS0001194,VEH0043,2026-06-20 02:37:00,21.616441,-171.79714,41.0,22,ON,44.8
GPS0002427,VEH0024,2026-06-25 16:23:00,73.440606,-165.636206,73.2,278,OFF,28.6
GPS0002250,VEH0006,2026-05-22 00:46:00,-26.588003,-111.436505,64.9,270,OFF,25.0
GPS0001660,VEH0002,2026-07-11 06:25:00,28.617412,27.262812,22.9,234,ON,2.2
GPS0001197,VEH0014,2026-04-29 18:49:00,-37.700534,-53.749593,45.7,351,ON,31.3
GPS0000564,VEH0012,2026-06-25 15:26:00,-51.707177,-65.049508,39.5,209,OFF,68.1
GPS0000772,VEH0038,2026-01-25 01:02:00,10.568218,170.160128,63.2,320,OFF,13.6
GPS0001810,VEH0027,2026-05-17 21:35:00,-47.143825,-145.026169,2.9,332,OFF,65.9
GPS0002007,VEH0051,2026-02-23 17:11:00,-28.309161,134.513801,74.5,258,ON,12.7
GPS0001767,VEH0056,2026-06-11 03:36:00,63.835988,49.319333,35.1,135,OFF,92.0
GPS0001973,VEH0050,2026-01-04 20:53:00,39.299637,-101.330282,60.6,162,OFF,77.0
GPS0001519,VEH0021,2026-02-21 09:33:00,-79.140524,117.773979,55.0,278,OFF,9.4
GPS0001035,VEH0058,2026-02-19 14:05:00,6.830409,-17.721282,80.0,43,ON,26.7
GPS0000912,VEH0058,2026-07-01 21:29:00,46.174116,-47.883619,89.3,63,ON,73.2
GPS0001963,VEH0039,2026-03-15 11:33:00,-50.150132,79.94912,118.7,177,ON,64.5
GPS0001148,VEH0010,2026-02-22 09:05:00,87.561897,-116.384737,10.8,31,ON,36.1
GPS0002181,VEH0025,2026-02-26 01:43:00,-82.621542,-167.926041,41.1,181,ON,45.3
GPS0001005,VEH0030,2026-05-02 14:13:00,16.96875,74.337009,2.9,274,ON,28.0
GPS0002403,VEH0047,2026-02-02 00:05:00,-59.496351,-36.109421,45.4,178,ON,26.5
GPS0002380,VEH0042,2026-07-02 12:16:00,-20.996299,102.316344,2.0,124,ON,55.4
GPS0001625,VEH0038,2026-01-06 06:24:00,-28.619199,-50.194784,72.9,180,OFF,96.1
GPS0000057,VEH0050,2026-03-29 00:41:00,-2.318258,7.48172,4.7,303,OFF,14.4
GPS0000465,VEH0029,2026-02-08 22:30:00,37.592002,-165.059561,29.8,89,OFF,97.4
GPS0001906,VEH0015,2026-05-12 16:17:00,38.336564,139.018259,23.3,91,ON,80.6
GPS0001116,VEH0042,2026-07-15 03:06:00,6.86299,-22.027787,35.7,15,ON,6.4
GPS0002125,VEH0049,2026-03-22 22:47:00,63.453969,148.262756,57.2,268,ON,56.7
GPS0000808,VEH0045,2026-04-23 17:13:00,37.633168,165.565244,30.7,322,OFF,56.7
GPS0001989,VEH0026,2026-01-31 10:14:00,80.759867,-161.466586,5.3,269,ON,40.2
GPS0001345,VEH0045,2026-05-23 04:24:00,61.768232,62.950512,78.4,248,OFF,48.3
GPS0002483,VEH0035,2026-07-18 10:05:00,-15.213671,-164.942315,40.7,202,ON,20.9
GPS0002121,VEH0057,2026-03-29 02:08:00,52.885293,-28.740449,72.1,175,ON,77.0
GPS0001125,VEH0018,2026-01-01 05:45:00,-64.964129,-28.921219,57.3,76,OFF,3.9
GPS0000283,VEH0014,2026-04-09 05:35:00,-78.928411,72.394091,49.0,147,OFF,82.2
GPS0001816,VEH0009,2026-01-24 06:14:00,-6.514662,109.098675,87.3,222,OFF,77.3
GPS0001887,VEH0036,2026-06-14 16:24:00,-76.820795,-98.260633,4.2,288,OFF,56.5
GPS0001478,VEH0044,2026-02-12 19:53:00,-9.084074,-144.359457,74.6,303,ON,31.2
GPS0000398,VEH0027,2026-01-31 14:05:00,-37.558999,-48.633836,110.0,299,ON,30.2
GPS0001985,VEH0025,2026-04-24 13:29:00,-36.478096,-29.609175,20.6,53,ON,54.6
GPS0001136,VEH0032,2026-06-24 20:54:00,-86.055435,-46.208426,18.6,107,OFF,82.9
GPS0000416,VEH0046,2026-01-14 22:11:00,-41.957809,136.141772,41.5,69,ON,2.6
GPS0000580,VEH0007,2026-05-07 23:08:00,58.663075,-124.739736,23.1,109,ON,43.9
GPS0001677,VEH0036,2026-03-08 22:51:00,75.23412,28.628708,31.3,130,ON,43.2
GPS0001611,VEH0021,2026-05-20 00:02:00,-10.107269,-66.954801,102.4,284,OFF,84.0
